"",Rank (Borda),Model,Zero-shot,Memory Usage (MB),Number of Parameters,Embedding Dimensions,Max Tokens,Clustering,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Instruction Retrieval,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
147,110,[udever-bloom-1b1](https://huggingface.co/izhx/udever-bloom-1b1),100%,Unknown,Unknown,Unknown,Unknown,,,,20.47,,-1.1,,72.83,37.02,,
148,112,[udever-bloom-3b](https://huggingface.co/izhx/udever-bloom-3b),100%,Unknown,Unknown,Unknown,Unknown,,,,13.79,,-0.75,,72.9,35.72,,
149,137,[udever-bloom-560m](https://huggingface.co/izhx/udever-bloom-560m),100%,Unknown,Unknown,Unknown,Unknown,,,,10.07,,-0.81,,71.67,30.79,,
150,151,[SearchMap_Preview](https://huggingface.co/VPLabs/SearchMap_Preview),⚠️ NA,1660,435M,4096,8192,,,,,,0.46,,,,,
151,152,[lodestone-base-4096-v1](https://huggingface.co/Hum-Works/lodestone-base-4096-v1),100%,Unknown,Unknown,768,Unknown,,,,,,,,,,,
152,153,[Seed1.5-Embedding](https://huggingface.co/ByteDance-Seed/Seed1.5-Embedding),⚠️ NA,Unknown,Unknown,2048,32768,,,,,,,,,,,
153,154,[bge-multilingual-gemma2](https://huggingface.co/BAAI/bge-multilingual-gemma2),93%,35254,9B,3584,8192,,,,,,,,,,,
154,155,[text-embedding-004](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),99%,Unknown,Unknown,768,2048,,,,,,2.33,,,,,
155,156,[b1ade-embed](https://huggingface.co/w601sxs/b1ade-embed),99%,1278,335M,1024,4096,,,,,,,,,,,
156,157,[CHAIN19](https://huggingface.co/bchoiced/CHAIN19),⚠️ NA,27125,7B,4096,32768,,,,,,,,,,,
157,158,[inf-retriever-v1](https://huggingface.co/infly/inf-retriever-v1),96%,13483,7B,3584,32768,,,,,,2.63,,,,66.48,
158,159,[voyage-law-2](https://blog.voyageai.com/2024/04/15/domain-specific-embeddings-and-retrieval-legal-edition-voyage-law-2/),100%,Unknown,Unknown,1024,16000,,,,,,,,,,,
159,160,[text-embedding-ada-002](https://openai.com/index/new-and-improved-embedding-model/),⚠️ NA,Unknown,Unknown,1536,8191,,,,,,,,,,,
160,161,[text-embedding-005](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),99%,Unknown,Unknown,768,2048,,,,,,,,,,,
161,162,[inf-retriever-v1-1.5b](https://huggingface.co/infly/inf-retriever-v1-1.5b),96%,2944,1B,1536,32768,,,,,,0.09,,,,62.96,
162,163,[voyage-3-m-exp](https://huggingface.co/voyageai/voyage-3-m-exp),92%,Unknown,6B,2048,32000,,,,,,,,,,,
163,164,[Conan-embedding-v2](https://huggingface.co/TencentBAC/Conan-embedding-v2),93%,Unknown,Unknown,3584,32768,,,,,,,,,,,
164,165,[voyage-code-2](https://blog.voyageai.com/2024/01/23/voyage-code-2-elevate-your-code-retrieval/),100%,Unknown,Unknown,1536,16000,,,,,,,,,,,
165,166,[voyage-2](https://blog.voyageai.com/2023/10/29/voyage-embeddings/),100%,Unknown,Unknown,1024,4000,,,,,,,,,,,
166,167,[mini-gte](https://huggingface.co/prdev/mini-gte),100%,253,66M,768,512,,,,,,,,,,,
167,168,[SONAR](https://ai.meta.com/research/publications/sonar-sentence-level-multimodal-and-language-agnostic-representations/),100%,Unknown,Unknown,1024,512,,,,,,,,,,,
168,169,[sentence-t5-xl](https://huggingface.co/sentence-transformers/sentence-t5-xl),100%,2367,3B,768,512,,,,,,,,,,,
169,170,[sentence-t5-xxl](https://huggingface.co/sentence-transformers/sentence-t5-xxl),100%,9279,11B,768,512,,,,,,,,,,,
170,171,[sentence-t5-large](https://huggingface.co/sentence-transformers/sentence-t5-large),100%,639,335M,768,512,,,,,,,,,,,
171,172,[voyage-code-3](https://blog.voyageai.com/2024/12/04/voyage-code-3/),100%,Unknown,Unknown,1024,32000,,,,,,,,,,,
172,173,[LENS-d8000](https://huggingface.co/yibinlei/LENS-d8000),94%,27125,7B,8000,32768,,,,,,,,,,,
173,174,[LENS-d4000](https://huggingface.co/yibinlei/LENS-d4000),94%,27125,7B,4000,32768,,,,,,,,,,,
174,175,[bge-en-icl](https://huggingface.co/BAAI/bge-en-icl),93%,27125,7B,4096,32768,,,,,,,,,,,
175,176,[bge-large-en](https://huggingface.co/BAAI/bge-large-en),99%,1242,335M,1024,512,,,,,,-2.37,,,,,
176,177,[Zeta-Alpha-E5-Mistral](https://huggingface.co/zeta-alpha-ai/Zeta-Alpha-E5-Mistral),95%,13563,7B,4096,32768,,,,,,,,,,,
